employee_Id,projectId,projectName,role,hoursWorked,allocationPercent,projectStartDate,projectEndDate,billableFlag,clientName
101,P001,Payments Revamp,Data Engineer,120,09-04-1900,01-01-2024,31-03-2024,Y,American Express
101,P002,Customer Analytics,Data Engineer,85,19-02-1900,05-04-2024,,Y,American Express
102,P002,Customer Analytics,Analyst,90,15-03-1900,10-02-2024,,Y,American Express
103,P003,E-Commerce Platform,Sr Developer,140,09-04-1900,15-01-2024,30-04-2024,Y,Flipkart
104,P004,Automation Testing Suite,QA Engineer,110,20-03-1900,01-03-2024,,N,Internal
105,P005,Project Governance Tool,Project Manager,160,100,05-01-2024,,N,Infosys Internal
106,P006,Enterprise Data Lake,Data Architect,200,100,10-01-2024,30-06-2024,Y,Amex
107,P007,Training Portal Upgrade,Intern,40,50,20-03-2024,,N,Internal
108,P002,Customer Analytics,Data Analyst,95,100,01-04-2024,,Y,American Express
109,P008,Mobile Banking App,Software Engineer,130,100,12-02-2024,31-05-2024,Y,HDFC Bank
110,P009,Process Automation,Business Analyst,80,60,01-03-2024,,N,Internal
111,P010,HR Management System,HR Executive,60,50,15-03-2024,,N,Internal
112,P011,Network Security Upgrade,Network Admin,150,100,10-01-2024,,Y,Infosys
